0: n01440764: 丁鲷; tench, Tinca tinca
39: n01677366: 绿鬣蜥; common iguana, iguana, Iguana iguana
40: n01682714: 美洲变色龙; American chameleon, anole, Anolis carolinensis
41: n01685808: 鞭尾蜥; whiptail, whiptail lizard
42: n01687978: 飞蜥; agama
43: n01688243: 伞蜥; frilled lizard, Chlamydosaurus kingi
44: n01689811: 鳄蜥; alligator lizard
45: n01692333: 毒蜥; Gila monster, Heloderma suspectum
46: n01693334: 绿蜥蜴; green lizard, Lacerta viridis
47: n01694178: 非洲变色龙; African chameleon, Chamaeleo chamaeleon
48: n01695060: 科莫多巨蜥; Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis
49: n01697457: 尼罗鳄; African crocodile, Nile crocodile, Crocodylus niloticus
50: n01698640: 密河鳄; American alligator, Alligator mississipiensis
51: n01704323: 三角龙; triceratops
52: n01728572: 蠕蛇; thunder snake, worm snake, Carphophis amoenus
53: n01728920: 环颈蛇; ringneck snake, ring-necked snake, ring snake
54: n01729322: 猪鼻蛇; hognose snake, puff adder, sand viper
55: n01729977: 草蛇; green snake, grass snake
56: n01734418: 王蛇; king snake, kingsnake
57: n01735189: 束带蛇; garter snake, grass snake
58: n01737021: 水蛇; water snake
59: n01739381: 藤蛇; vine snake
60: n01740131: 夜蛇; night snake, Hypsiglena torquata
61: n01742172: 蟒蛇; boa constrictor, Constrictor constrictor
62: n01744401: 岩蟒; rock python, rock snake, Python sebae
63: n01748264: 印度眼镜蛇; Indian cobra, Naja naja
64: n01749939: 绿曼巴; green mamba
65: n01751748: 海蛇; sea snake
66: n01753488: 角蝰; horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
67: n01755581: 菱背响尾蛇; diamondback, diamondback rattlesnake, Crotalus adamanteus
68: n01756291: 角响尾蛇; sidewinder, horned rattlesnake, Crotalus cerastes
69: n01768244: 三叶虫; trilobite
70: n01770081: 盲蛛; harvestman, daddy longlegs, Phalangium opilio
71: n01770393: 蝎子; scorpion
72: n01773157: 金蛛; black and gold garden spider, Argiope aurantia
73: n01773549: 谷仓蜘蛛; barn spider, Araneus cavaticus
74: n01773797: 花园十字蛛; garden spider, Aranea diademata
75: n01774384: 黑寡妇蜘蛛; black widow, Latrodectus mactans
76: n01774750: 狼蛛; tarantula
77: n01775062: 狼蛛; wolf spider, hunting spider
78: n01776313: 蜱虫; tick
79: n01784675: 蜈蚣; centipede
80: n01795545: 黑琴鸡; black grouse
81: n01796340: 雷鸟; ptarmigan
82: n01797886: 披肩榛鸡; ruffed grouse, partridge, Bonasa umbellus
83: n01798484: 草原松鸡; prairie chicken, prairie grouse, prairie fowl
84: n01806143: 孔雀; peacock
85: n01806567: 鹌鹑; quail
86: n01807496: 山鹑; partridge
87: n01817953: 非洲灰鹦鹉; African grey, African gray, Psittacus erithacus
88: n01818515: 金刚鹦鹉; macaw
89: n01819313: 葵花凤头鹦鹉; sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
90: n01820546: 吸蜜鹦鹉; lorikeet
91: n01824575: 鸦鹃; coucal
92: n01828970: 蜂虎; bee eater
93: n01829413: 犀鸟; hornbill
94: n01833805: 蜂鸟; hummingbird
95: n01843065: 鹟䴕; jacamar
96: n01843383: 巨嘴鸟; toucan
97: n01847000: 公鸭; drake
98: n01855032: 红胸秋沙鸭; red-breasted merganser, Mergus serrator
99: n01855672: 鹅; goose
100: n01860187: 黑天鹅; black swan, Cygnus atratus
101: n01871265: 长牙象; tusker
102: n01872401: 针鼹; echidna, spiny anteater, anteater
103: n01873310: 鸭嘴兽，Ornithorhynchus anatinus; platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus
104: n01877812: 沙袋鼠; wallaby, brush kangaroo
105: n01882714: 考拉，Phascolarctos cinereus; koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
106: n01883070: 袋熊; wombat
107: n01910747: 水母; jellyfish
108: n01914609: 海葵; sea anemone, anemone
109: n01917289: 脑珊瑚; brain coral
110: n01924916: 扁虫; flatworm, platyhelminth
111: n01930112: 线虫; nematode, nematode worm, roundworm
112: n01943899: 海螺; conch
113: n01944390: 蜗牛; snail
114: n01945685: 蛞蝓; slug
115: n01950731: 海蛞蝓; sea slug, nudibranch
116: n01955084: 石鳖; chiton, coat-of-mail shell, sea cradle, polyplacophore
117: n01968897: 鹦鹉螺; chambered nautilus, pearly nautilus, nautilus
118: n01978287: 珍宝蟹; Dungeness crab, Cancer magister
119: n01978455: 岩蟹; rock crab, Cancer irroratus
120: n01980166: 招潮蟹; fiddler crab
121: n01981276: 帝王蟹; king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
122: n01983481: 美洲龙虾; American lobster, Northern lobster, Maine lobster, Homarus americanus
123: n01984695: 龙虾; spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
124: n01985128: 小龙虾; crayfish, crawfish, crawdad, crawdaddy
125: n01986214: 寄居蟹; hermit crab
126: n01990800: 等足类; isopod
127: n02002556: 白鹳; white stork, Ciconia ciconia
128: n02002724: 黑鹳; black stork, Ciconia nigra
129: n02006656: 琵鹭; spoonbill
130: n02007558: 火烈鸟; flamingo
131: n02009229: 小蓝鹭; little blue heron, Egretta caerulea
132: n02009912: 大白鹭; American egret, great white heron, Egretta albus
133: n02011460: 麻鸦; bittern
134: n02012849: 鹤; crane
135: n02013706: 秧鹤; limpkin, Aramus pictus
136: n02017213: 紫水鸡; European gallinule, Porphyrio porphyrio
137: n02018207: 美洲骨顶鸡; American coot, marsh hen, mud hen, water hen, Fulica americana
138: n02018795: 鸨; bustard
139: n02025239: 翻石鹬; ruddy turnstone, Arenaria interpres
140: n02027492: 滨鹬; red-backed sandpiper, dunlin, Erolia alpina
141: n02028035: 红脚鹬; redshank, Tringa totanus
142: n02033041: 杓鹬; dowitcher
143: n02037110: 蛎鹬; oystercatcher, oyster catcher
144: n02051845: 鹈鹕; pelican
145: n02056570: 王企鹅; king penguin, Aptenodytes patagonica
146: n02058221: 信天翁; albatross, mollymawk
147: n02066245: 灰鲸、灰鲸、魔鬼鱼、Eschrichtius gibbosus、Eschrichtius robustus; grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
148: n02071294: 虎鲸、逆戟鲸、Orcinus orca; killer whale, killer, orca, grampus, sea wolf, Orcinus orca
149: n02074367: 儒艮，Dugong dugon; dugong, Dugong dugon
150: n02077923: 海狮; sea lion
151: n02085620: 吉娃娃; Chihuahua
152: n02085782: 日本狆; Japanese spaniel
153: n02085936: 马尔济斯犬; Maltese dog, Maltese terrier, Maltese
154: n02086079: 北京犬; Pekinese, Pekingese, Peke
155: n02086240: 西施犬; Shih-Tzu
156: n02086646: 布伦海姆猎犬; Blenheim spaniel
157: n02086910: 蝴蝶犬; papillon
158: n02087046: 玩具㹴; toy terrier
159: n02087394: 罗得西亚脊背犬; Rhodesian ridgeback
160: n02088094: 阿富汗猎犬; Afghan hound, Afghan
161: n02088238: 巴吉度猎犬; basset, basset hound
162: n02088364: 比格犬; beagle
163: n02088466: 寻血猎犬; bloodhound, sleuthhound
164: n02088632: 蓝斑猎浣熊犬; bluetick
165: n02089078: 黑褐猎浣熊犬; black-and-tan coonhound
166: n02089867: 猎狐犬; Walker hound, Walker foxhound
167: n02089973: 英国猎狐犬; English foxhound
168: n02090379: 红骨猎浣熊犬; redbone
169: n02090622: 俄罗斯猎狼犬; borzoi, Russian wolfhound
170: n02090721: 爱尔兰猎狼犬; Irish wolfhound
171: n02091032: 意大利灵缇; Italian greyhound
172: n02091134: 惠比特犬; whippet
173: n02091244: 伊比赞猎犬; Ibizan hound, Ibizan Podenco
174: n02091467: 挪威猎鹿犬; Norwegian elkhound, elkhound
175: n02091635: 水獭猎犬; otterhound, otter hound
176: n02091831: 萨路基猎犬; Saluki, gazelle hound
177: n02092002: 苏格兰猎鹿犬; Scottish deerhound, deerhound
178: n02092339: 魏玛猎犬; Weimaraner
179: n02093256: 斯塔福郡斗牛㹴; Staffordshire bullterrier, Staffordshire bull terrier
180: n02093428: 美国斯塔福郡㹴; American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier
181: n02093647: 贝灵顿㹴; Bedlington terrier
182: n02093754: 边境㹴; Border terrier
183: n02093859: 凯利蓝㹴; Kerry blue terrier
184: n02093991: 爱尔兰㹴; Irish terrier
185: n02094114: 诺福克㹴; Norfolk terrier
186: n02094258: 诺里奇㹴; Norwich terrier
187: n02094433: 约克夏㹴; Yorkshire terrier
188: n02095314: 刚毛猎狐㹴; wire-haired fox terrier
189: n02095570: 湖畔㹴; Lakeland terrier
190: n02095889: 西里汉㹴; Sealyham terrier, Sealyham
191: n02096051: 万能㹴; Airedale, Airedale terrier
192: n02096177: 凯恩㹴; cairn, cairn terrier
193: n02096294：澳大利亚㹴犬
194: n02096437: 丹迪丁蒙㹴; Dandie Dinmont, Dandie Dinmont terrier
195: n02096585: 波士顿㹴; Boston bull, Boston terrier
196: n02097047: 迷你雪纳瑞; miniature schnauzer
197: n02097130: 巨型雪纳瑞; giant schnauzer
198: n02097209: 标准雪纳瑞; standard schnauzer
199: n02097298: 苏格兰㹴; Scotch terrier, Scottish terrier, Scottie
200: n02097474: 西藏㹴; Tibetan terrier, chrysanthemum dog
201: n02097658: 丝毛㹴; silky terrier, Sydney silky
202: n02098105: 软毛麦色㹴; soft-coated wheaten terrier
203: n02098286: 西高地白㹴; West Highland white terrier
204: n02098413: 拉萨犬; Lhasa, Lhasa apso
205: n02099267: 平毛寻回犬; flat-coated retriever
206: n02099429: 卷毛寻回犬; curly-coated retriever
207: n02099601: 金毛寻回犬; golden retriever
208: n02099712: 拉布拉多寻回犬; Labrador retriever
209: n02099849: 切萨皮克湾寻回犬; Chesapeake Bay retriever
210: n02100236: 德国短毛指示犬; German short-haired pointer
211: n02100583: 维兹拉犬; vizsla, Hungarian pointer
212: n02100735: 英国雪达犬; English setter
213: n02100877: 爱尔兰雪达犬; Irish setter, red setter
214: n02101006: 戈登雪达犬; Gordon setter
215: n02101388: 布列塔尼猎犬; Brittany spaniel
216: n02101556: 克伦伯猎犬; clumber, clumber spaniel
217: n02102040: 英国激飞猎犬; English springer, English springer spaniel
218: n02102177: 威尔士激飞猎犬; Welsh springer spaniel
219: n02102318: 可卡犬; cocker spaniel, English cocker spaniel, cocker
220: n02102480: 苏塞克斯猎犬; Sussex spaniel
221: n02102973: 爱尔兰水猎犬; Irish water spaniel
222: n02104029: 库瓦兹犬; kuvasz
223: n02104365: 比利时牧羊犬; schipperke
224: n02105056: 比利时特伏丹犬; groenendael
225: n02105162: 马利诺犬; malinois
226: n02105251: 伯瑞犬; briard
227: n02105412: 澳大利亚卡尔比犬; kelpie
228: n02105505: 可蒙犬; komondor
229: n02105641: 古代英国牧羊犬; Old English sheepdog, bobtail
230: n02105855: 喜乐蒂牧羊犬; Shetland sheepdog, Shetland sheep dog, Shetland
231: n02106030: 柯利牧羊犬; collie
232: n02106166: 边境牧羊犬; Border collie
233: n02106382: 佛兰德牧牛犬; Bouvier des Flandres, Bouviers des Flandres
234: n02106550: 罗威纳犬; Rottweiler
235: n02106662: 德国牧羊犬; German shepherd, German shepherd dog, German police dog, alsatian
236: n02107142: 杜宾犬; Doberman, Doberman pinscher
237: n02107312: 迷你杜宾犬; miniature pinscher
238: n02107574: 大瑞士山地犬; Greater Swiss Mountain dog
239: n02107683: 伯恩山犬; Bernese mountain dog
240: n02107908: 阿彭策尔犬; Appenzeller
241: n02108000: 恩特雷布赫山地犬; EntleBucher
242: n02108089: 拳师犬; boxer
243: n02108422: 斗牛獒; bull mastiff
244: n02108551: 藏獒; Tibetan mastiff
245: n02108915: 法国斗牛犬; French bulldog
246: n02109047: 大丹犬; Great Dane
247: n02109525: 圣伯纳犬; Saint Bernard, St Bernard
248: n02109961: 爱斯基摩犬、哈士奇; Eskimo dog, husky
249: n02110063: 阿拉斯加雪橇犬、爱斯基摩犬; malamute, malemute, Alaskan malamute
250: n02110185: 西伯利亚雪橇犬; Siberian_husky
251: n02110341: 斑点狗、马车犬; dalmatian, coach dog, carriage dog
252: n02110627: 猴面犬; affenpinscher, monkey pinscher, monkey dog
253: n02110806: 巴仙吉犬; basenji
254: n02110958: 巴哥犬; pug, pug-dog
255: n02111129: 莱昂伯格犬; Leonberg
256: n02111277: 纽芬兰犬; Newfoundland, Newfoundland dog
257: n02111500: 大白熊犬; Great Pyrenees
258: n02111889: 萨摩耶犬; Samoyed, Samoyede
259: n02112018: 博美犬; Pomeranian
260: n02112137: 松狮犬; chow, chow chow
261: n02112350: 荷兰毛狮犬; keeshond
262: n02112706: 布鲁塞尔格里芬犬; Brabancon griffon
263: n02113023: 彭布罗克威尔士柯基; Pembroke, Pembroke Welsh corgi
264: n02113186: 卡迪根威尔士柯基; Cardigan, Cardigan Welsh corgi
265: n02113624: 玩具贵宾犬; toy poodle
266: n02113712: 迷你贵宾犬; miniature poodle
267: n02113799: 标准贵宾犬; standard poodle
268: n02113978: 墨西哥无毛犬; Mexican hairless
269: n02114367: 灰狼，Canis lupus; timber wolf, grey wolf, gray wolf, Canis lupus
270: n02114548: 北极狼，Canis lupus tundrarum; white wolf, Arctic wolf, Canis lupus tundrarum
271: n02114712: 红狼、鬃狼，Canis rufus, Canis niger; red wolf, maned wolf, Canis rufus, Canis niger
272: n02114855: 郊狼，Canis latrans; coyote, prairie wolf, brush wolf, Canis latrans
273: n02115641: 澳洲野犬，Canis dingo; dingo, warrigal, warragal, Canis dingo
274: n02115913: 豺; dhole, Cuon alpinus
275: n02116738: 非洲野犬，Lycaon pictus; African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
276: n02117135: 鬣狗; hyena, hyaena
277: n02119022: 赤狐，Vulpes vulpes; red fox, Vulpes vulpes
278: n02119789: 沙狐，Vulpes macrotis; kit fox, Vulpes macrotis
279: n02120079: 北极狐，Alopex lagopus; Arctic fox, white fox, Alopex lagopus
280: n02120505: 灰狐，Urocyon cinereoargenteus; grey fox, gray fox, Urocyon cinereoargenteus
281: n02123045: 虎斑猫; tabby, tabby cat
282: n02123159: 虎猫; tiger cat
283: n02123394: 波斯猫; Persian cat
284: n02123597: 暹罗猫; Siamese cat, Siamese
285: n02124075: 埃及猫; Egyptian cat
286: n02125311: 美洲狮、山狮、猫科动物、Felis concolor; cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
287: n02127052: 猞猁; lynx, catamount
288: n02128385: 豹，Panthera pardus; leopard, Panthera pardus
289: n02128757: 雪豹; snow leopard, ounce, Panthera uncia
290: n02128925: 美洲豹、Panthera onca; jaguar, panther, Panthera onca, Felis onca
291: n02129165: 狮，Panthera leo; lion, king of beasts, Panthera leo
292: n02129604: 虎，Panthera tigris; tiger, Panthera tigris
293: n02130308: 猎豹，Acinonyx jubatus; cheetah, chetah, Acinonyx jubatus
294: n02132136: 棕熊; brown bear, bruin, Ursus arctos
295: n02133161: 美洲黑熊，Ursus americanus; American black bear, black bear, Ursus americanus, Euarctos americanus
296: n02134084: 北极熊，Ursus Maritimus; ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
297: n02134418: 懒熊，Melursus ursinus; sloth bear, Melursus ursinus, Ursus ursinus
298: n02137549: 猫鼬; mongoose
299: n02138441: 狐獴; meerkat, mierkat
300: n02165105: 虎甲虫; tiger beetle
301: n02165456: 瓢虫; ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
302: n02167151: 步甲; ground beetle, carabid beetle
303: n02168699: 天牛; long-horned beetle, longicorn, longicorn beetle
304: n02169497: 叶甲; leaf beetle, chrysomelid
305: n02172182: 蜣螂; dung beetle
306: n02174001: 犀金龟; rhinoceros beetle
307: n02177972: 象鼻虫; weevil
308: n02190166: 苍蝇; fly
309: n02206856: 蜜蜂; bee
310: n02219486: 蚂蚁; ant, emmet, pismire
311: n02226429: 蚱蜢; grasshopper, hopper
312: n02229544: 蟋蟀; cricket
313: n02231487: 竹节虫; walking stick, walkingstick, stick insect
314: n02233338: 蟑螂; cockroach, roach
315: n02236044: 螳螂; mantis, mantid
316: n02256656: 蝉; cicada, cicala
317: n02259212: 叶蝉; leafhopper
318: n02264363: 草蛉; lacewing, lacewing fly
319: n02268443: 蜻蜓; dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
320: n02268853: 豆娘; damselfly
321: n02276258: 红蛱蝶; admiral
322: n02277742: 眼蝶; ringlet, ringlet butterfly
323: n02279972: 帝王蝶; monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
324: n02280649: 菜粉蝶; cabbage butterfly
325: n02281406: 黄粉蝶; sulphur butterfly, sulfur butterfly
326: n02281787: 灰蝶; lycaenid, lycaenid butterfly
327: n02317335: 海星; starfish, sea star
328: n02319095: 海胆; sea urchin
329: n02321529: 海参; sea cucumber, holothurian
330: n02325366: 棉尾兔; wood rabbit, cottontail, cottontail rabbit
331: n02326432: 野兔; hare
332: n02328150: 安哥拉兔; Angora, Angora rabbit
333: n02342885: 仓鼠; hamster
334: n02346627: 豪猪、刺猬; porcupine, hedgehog
335: n02356798: 狐松鼠，Sciurus niger; fox squirrel, eastern fox squirrel, Sciurus niger
336: n02361337: 旱獭; marmot
337: n02363005: 河狸; beaver
338: n02364673: 豚鼠，Cavia cobaya; guinea pig, Cavia cobaya
339: n02389026: 栗色马; sorrel
340: n02391049: 斑马; zebra
341: n02395406: 猪，Sus scrofa; hog, pig, grunter, squealer, Sus scrofa
342: n02396427: 野猪，Sus scrofa; wild boar, boar, Sus scrofa
343: n02397096: 疣猪; warthog
344: n02398521: 河马，Hippopotamus amphibius; hippopotamus, hippo, river horse, Hippopotamus amphibius
345: n02403003: 牛; ox
346: n02408429: 水牛，Bubalus bubalis; water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
347: n02410509: 野牛; bison
348: n02412080: 公羊; ram, tup
349: n02415577: 大角羊，Ovis canadensis; bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
350: n02417914: 北山羊，Capra ibex; ibex, Capra ibex
351: n02422106: 狷羚; hartebeest
352: n02422699: 黑斑羚，Aepyceros melampus; impala, Aepyceros melampus
353: n02423022: 羚羊; gazelle
354: n02437312: 单峰骆驼，Camelus dromedarius; Arabian camel, dromedary, Camelus dromedarius
355: n02437616: 羊驼; llama
356: n02441942: 鼬; weasel
357: n02442845: 貂; mink
358: n02443114: 臭鼬，Mustela putorius; polecat, fitch, foulmart, foumart, Mustela putorius
359: n02443484: 黑足鼬，Mustela nigripes; black-footed ferret, ferret, Mustela nigripes
360: n02444819: 水獭; otter
361: n02445715: 臭鼬; skunk, polecat, wood pussy
362: n02447366: 獾; badger
363: n02454379: 犰狳; armadillo
364: n02457408: 三趾树懒，Bradypus tridactylus; three-toed sloth, ai, Bradypus tridactylus
365: n02480495: 猩猩，Pongo pygmaeus; orangutan, orang, orangutang, Pongo pygmaeus
366: n02480855: 大猩猩，Gorilla gorilla; gorilla, Gorilla gorilla
367: n02481823: 黑猩猩，Pan troglodytes; chimpanzee, chimp, Pan troglodytes
368: n02483362: 长臂猿，Hylobates lar; gibbon, Hylobates lar
369: n02483708: 合趾猴，Symphalangus syndactylus; siamang, Hylobates syndactylus, Symphalangus syndactylus
370: n02484975: 长尾猴; guenon, guenon monkey
371: n02486261: 赤猴，Erythrocebus patas; patas, hussar monkey, Erythrocebus patas
372: n02486410: 狒狒; baboon
373: n02487347: 猕猴; macaque
374: n02488291: 叶猴; langur
375: n02488702: 疣猴; colobus, colobus monkey
376: n02489166: 长鼻猴，Nasalis larvatus; proboscis monkey, Nasalis larvatus
377: n02490219: 狨猴; marmoset
378: n02492035: 卷尾猴，Cebus capucinus; capuchin, ringtail, Cebus capucinus
379: n02492660: 吼猴; howler monkey, howler
380: n02493509: 伶猴; titi, titi monkey
381: n02493793: 蜘蛛猴，Ateles geoffroyi; spider monkey, Ateles geoffroyi
382: n02494079: 松鼠猴，Saimiri sciureus; squirrel monkey, Saimiri sciureus
383: n02497673: 环尾狐猴，Lemur catta; Madagascar cat, ring-tailed lemur, Lemur catta
384: n02500267: 大狐猴，Indri indri; indri, indris, Indri indri, Indri brevicaudatus
385: n02504013: 亚洲象，Elephas maximus; Indian elephant, Elephas maximus
386: n02504458: 非洲象，Loxodonta africana; African elephant, Loxodonta africana
387: n02509815: 小熊猫、红熊猫、熊猫、猫熊、Ailurus fulgens; lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
388: n02510455: 大熊猫，Ailuropoda melanoleuca; giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca
389: n02514041: 梭鱼; barracouta, snoek
390: n02526121: 鳗鱼; eel
391: n02536864: 银鲑; coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch
392: n02606052: 石美人鱼; rock beauty, Holocanthus tricolor
393: n02607072: 小丑鱼; anemone fish
394: n02640242: 鲟鱼; sturgeon
395: n02641379: 雀鳝; gar, garfish, garpike, billfish, Lepisosteus osseus
396: n02643566: 狮子鱼; lionfish
397: n02655020: 河豚; puffer, pufferfish, blowfish, globefish
398: n02666196: 算盘; abacus
399: n02667093: 女性阿拉伯长袍; abaya
400: n02669723: 学位袍; academic gown, academic robe, judge's robe
401: n02672831: 手风琴; accordion, piano accordion, squeeze box
402: n02676566: 木吉他; acoustic guitar
403: n02687172: 航空母舰; aircraft carrier, carrier, flattop, attack aircraft carrier
404: n02690373: 客机; airliner
405: n02692877: 飞艇; airship, dirigible
406: n02699494: 祭坛; altar
407: n02701002: 救护车; ambulance
408: n02704792: 两栖车辆; amphibian, amphibious vehicle
409: n02708093: 模拟时钟; analog clock
410: n02727426: 蜂房; apiary, bee house
411: n02730930: 围裙; apron
412: n02747177: 垃圾桶; ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
413: n02749479: 突击步枪; assault rifle, assault gun
414: n02769748: 背包; backpack, back pack, knapsack, packsack, rucksack, haversack
415: n02776631: 面包店; bakery, bakeshop, bakehouse
416: n02777292: 平衡木; balance beam, beam
417: n02782093: 热气球; balloon
418: n02783161: 圆珠笔; ballpoint, ballpoint pen, ballpen, Biro
419: n02786058: 创可贴; Band Aid
420: n02787622: 班卓琴; banjo
421: n02788148: 栏杆; bannister, banister, balustrade, balusters, handrail
422: n02790996: 杠铃; barbell
423: n02791124: 理发椅; barber chair
424: n02791270: 理发店; barbershop
425: n02793495: 谷仓; barn
426: n02794156: 气压计; barometer
427: n02795169: 木桶; barrel, cask
428: n02797295: 手推车; barrow, garden cart, lawn cart, wheelbarrow
429: n02799071: 棒球; baseball
430: n02802426: 篮球; basketball
431: n02804414: 婴儿摇篮; bassinet
432: n02804610: 巴松管; bassoon
433: n02807133: 泳帽; bathing cap, swimming cap（泳帽）
434: n02808304: 浴巾; bath towel
435: n02808440: 浴缸; bathtub, bathing tub, bath, tub
436: n02814533: 旅行车; beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
437: n02814860: 灯塔; beacon, lighthouse, beacon light, pharos
438: n02815834: 烧杯; beaker
439: n02817516: 熊皮帽; bearskin, busby（毛皮高帽）, shako（英国军队桶形军帽）
440: n02823428: 啤酒瓶; beer bottle
441: n02823750: 啤酒杯; beer glass
442: n02825657: 钟楼; bell cote, bell cot
443: n02834397: 吃饭围嘴; bib
444: n02835271: 双人自行车; bicycle-built-for-two, tandem bicycle, tandem
445: n02837789: 比基尼; bikini, two-piece
446: n02840245: 活页夹; binder, ring-binder
447: n02841315: 双筒望远镜; binoculars, field glasses, opera glasses
448: n02843684: 鸟屋; birdhouse
449: n02859443: 船库; boathouse
450: n02860847: 雪橇; bobsled, bobsleigh, bob
451: n02865351: 波洛领带; bolo tie, bolo, bola tie, bola
452: n02869837: 小女孩帽; bonnet, poke bonnet
453: n02870880: 书架; bookcase
454: n02871525: 书店; bookshop, bookstore, bookstall
455: n02877765: 瓶盖; bottlecap（瓶盖）
456: n02879718: 弓; bow
457: n02883205: 领结; bow tie, bow-tie, bowtie
458: n02892201: 铜牌; brass, memorial tablet, plaque
459: n02892767: 文胸; brassiere, bra, bandeau
460: n02894605: 防波堤; breakwater, groin, groyne, mole, bulwark, seawall, jetty
461: n02895154: 胸甲; breastplate, aegis, egis
462: n02906734: 扫帚; broom
463: n02909870: 水桶; bucket, pail
464: n02910353: 皮带扣; buckle
465: n02916936: 防弹背心; bulletproof vest
466: n02917067: 子弹头列车; bullet train, bullet
467: n02927161: 肉铺; butcher shop, meat market
468: n02930766: 出租车; cab, hack, taxi, taxicab
469: n02939185: 大锅; caldron, cauldron
470: n02948072: 蜡烛; candle, taper, wax light
471: n02950826: 大炮; cannon
472: n02951358: 独木舟; canoe
473: n02951585: 开罐器; can opener, tin opener
474: n02963159: 开襟衫; cardigan
475: n02965783: 后视镜; car mirror
476: n02966193: 旋转木马; carousel, carrousel, merry-go-round, roundabout, whirligig
477: n02966687: 工具箱; carpenter's kit, tool kit
478: n02971356: 纸箱; carton
479: n02974003: 车轮; car wheel
480: n02977058: 自动取款机; cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM
481: n02978881: 磁带; cassette（磁带）
482: n02979186: 磁带播放器; cassette player（磁带播放器）
483: n02980441: 城堡; castle
484: n02981792: 双体船; catamaran
485: n02988304: CD播放器; CD player（CD光盘播放器）
486: n02992211: 大提琴; cello, violoncello
487: n02992529: 手机; cellular telephone, cellular phone, cellphone, cell, mobile phone
488: n02999410: 链条; chain
489: n03000134: 铁丝网; chainlink fence
